satisfaction,sex,customer_type,age,travel_type,class,flight_distance,seat_comfort,time_convenience,food_drink,gate_location,inflight_wifi,inflight_entertainment,online_support,ease_booking,onboard_service,leg_room,baggage_handling,checkin_service,cleanliness,online_boarding,departure_delay,arrival_delay
satisfied,Male,loyal,32,Personal ,Eco,1904,4,5,4,2,4,4,4,4,4,2,5,3,5,4,0,0
satisfied,Male,loyal,62,Personal ,Eco,2439,5,5,5,1,5,5,5,5,2,5,1,3,4,5,38,54
satisfied,Male,loyal,21,Business ,Business,1538,2,2,2,2,4,4,4,4,4,2,5,4,4,4,0,0
dissatisfied,Male,loyal,15,Personal ,Eco,2389,4,2,4,4,5,4,5,5,1,1,3,3,4,5,0,0
satisfied,Female,loyal,45,Personal ,Eco,1050,3,3,3,3,2,4,4,4,4,4,4,4,4,4,0,0
dissatisfied,Male,loyal,63,Personal ,Eco,1711,3,5,3,3,1,3,1,1,5,2,5,3,4,1,64,NA
dissatisfied,Male,disloyal,27,Business ,Eco,2664,2,2,2,4,5,2,5,5,1,5,5,5,2,5,34,96
dissatisfied,Male,loyal,69,Personal ,Eco,1703,2,2,2,3,5,2,5,5,4,5,4,2,3,5,7,11
satisfied,Female,loyal,62,Business ,Business,623,5,5,1,5,2,5,5,5,5,5,5,3,5,5,0,3
satisfied,Male,loyal,16,Personal ,Eco,2673,4,4,4,4,1,4,1,1,5,3,4,5,5,1,0,0
dissatisfied,Male,loyal,38,Business ,Business,337,3,3,3,3,4,4,3,3,3,3,3,4,3,1,58,60
dissatisfied,Male,loyal,23,Business ,Eco Plus,2696,2,5,5,5,2,3,1,2,1,4,3,4,3,2,0,10
dissatisfied,Female,loyal,72,Business ,Eco,536,1,4,4,4,3,3,3,1,1,1,1,2,1,2,6,0
satisfied,Male,disloyal,24,Business ,Eco,1602,5,0,5,2,2,5,2,2,5,5,4,5,5,2,43,54
satisfied,Female,loyal,46,Business ,Business,2489,3,3,3,3,3,4,4,5,5,5,5,4,5,4,5,26
satisfied,Female,loyal,36,Business ,Eco,1679,5,3,3,3,5,5,5,5,5,5,5,1,3,5,0,7
satisfied,Female,loyal,38,Personal ,Business,574,5,2,4,3,2,3,4,2,2,4,4,3,2,2,0,1
satisfied,Female,loyal,54,Business ,Business,1729,4,4,4,4,4,4,5,5,5,4,5,4,5,4,18,10
satisfied,Male,disloyal,23,Business ,Business,2918,4,0,4,2,1,4,1,1,3,2,5,4,5,1,0,0
satisfied,Male,loyal,28,Business ,Business,1551,2,2,2,2,4,4,4,4,2,4,4,2,2,4,0,3
satisfied,Female,loyal,57,Business ,Business,1565,5,5,5,5,4,5,5,4,4,3,4,3,4,5,1,0
dissatisfied,Female,loyal,26,Personal ,Eco Plus,1344,4,5,0,2,2,0,2,2,3,4,5,4,5,2,11,0
dissatisfied,Male,loyal,37,Personal ,Eco,2331,1,4,1,2,4,1,4,4,1,5,1,3,5,4,0,0
satisfied,Female,loyal,34,Personal ,Eco,1853,2,2,2,2,3,5,4,4,4,4,4,5,4,3,0,0
dissatisfied,Male,disloyal,21,Business ,Eco,1428,3,1,3,2,4,3,4,4,1,4,3,3,2,4,23,19
satisfied,Male,loyal,41,Business ,Eco,1614,5,1,1,1,5,5,5,5,1,5,3,2,5,5,0,0
dissatisfied,Male,loyal,20,Business ,Business,4715,3,1,4,1,3,3,3,3,3,1,4,3,4,3,65,92
dissatisfied,Female,loyal,61,Business ,Eco,371,3,1,1,1,4,3,3,3,3,3,3,3,3,2,0,36
dissatisfied,Female,disloyal,7,Business ,Eco,2837,3,2,2,1,3,3,3,3,4,5,4,4,4,3,0,0
dissatisfied,Male,loyal,47,Business ,Eco,1460,2,2,2,2,2,2,2,2,4,4,2,4,3,2,21,29
dissatisfied,Female,loyal,29,Business ,Eco,3378,3,2,2,2,3,3,3,3,4,3,4,2,3,3,10,0
dissatisfied,Female,disloyal,65,Business ,Eco,2237,4,3,4,3,2,4,2,2,3,3,3,2,1,2,60,46
dissatisfied,Male,loyal,8,Personal ,Eco,2097,3,5,3,4,3,3,3,3,3,5,4,4,5,3,5,0
satisfied,Male,loyal,40,Business ,Eco,2254,3,4,3,4,3,4,3,3,2,4,2,1,2,3,11,11
dissatisfied,Male,loyal,49,Personal ,Eco,1664,1,5,1,3,3,1,3,3,4,2,4,4,4,3,0,8
satisfied,Male,loyal,58,Business ,Business,913,1,1,1,1,3,1,4,5,5,5,5,5,5,2,1,3
dissatisfied,Male,loyal,7,Personal ,Eco,1826,4,2,3,4,3,3,3,3,2,3,4,2,3,3,15,0
satisfied,Female,loyal,59,Business ,Eco,1057,4,4,3,3,5,4,3,4,4,4,4,2,4,1,3,0
satisfied,Female,loyal,20,Personal ,Eco,3037,3,3,3,3,5,5,5,5,5,5,5,5,5,5,50,38
satisfied,Female,loyal,49,Personal ,Eco,806,2,2,3,2,5,4,5,5,5,5,5,5,5,4,0,0
satisfied,Male,loyal,59,Business ,Business,2857,5,5,5,5,4,5,5,5,5,5,5,4,5,4,0,0
satisfied,Male,loyal,34,Business ,Business,1197,2,2,2,2,3,4,5,5,5,5,5,4,5,3,0,0
dissatisfied,Female,disloyal,24,Business ,Eco,1178,4,2,4,3,4,4,1,4,2,3,3,1,4,4,85,76
dissatisfied,Male,loyal,25,Personal ,Eco,3218,2,4,2,1,5,2,5,5,5,2,4,3,5,5,40,65
satisfied,Female,loyal,43,Business ,Business,2262,5,5,5,5,3,4,4,4,4,4,4,4,4,4,42,29
dissatisfied,Female,loyal,15,Personal ,Eco,2124,3,5,3,4,2,3,2,2,4,5,5,5,4,2,19,3
satisfied,Male,loyal,56,Business ,Eco,1719,5,3,3,3,5,5,5,5,2,2,3,1,2,5,0,1
satisfied,Male,disloyal,24,Business ,Eco,1438,0,0,0,3,3,0,3,3,3,4,4,5,3,3,0,0
satisfied,Female,loyal,48,Business ,Business,1991,2,2,4,2,2,4,5,4,4,4,4,4,4,4,0,0
satisfied,Male,loyal,28,Business ,Business,4001,4,4,2,4,4,4,4,4,5,1,3,2,5,4,0,0
satisfied,Female,loyal,49,Business ,Business,2555,3,3,3,3,5,5,4,4,4,4,4,4,4,4,0,0
satisfied,Female,loyal,59,Business ,Business,2415,3,3,3,3,2,4,4,4,4,4,4,4,4,4,0,0
dissatisfied,Male,loyal,58,Business ,Eco,1603,4,1,1,1,4,4,4,4,4,2,4,2,3,4,0,0
dissatisfied,Male,loyal,14,Personal ,Eco,2671,1,1,1,3,3,1,3,3,1,1,3,1,2,3,16,51
satisfied,Male,loyal,34,Business ,Business,2180,2,2,2,2,4,5,4,5,5,5,5,4,5,5,0,0
dissatisfied,Female,disloyal,35,Business ,Business,2140,2,2,2,3,1,2,1,1,3,2,4,4,5,1,19,7
satisfied,Male,loyal,30,Business ,Business,3808,5,5,5,5,5,5,5,5,3,2,5,4,5,5,0,0
satisfied,Male,disloyal,55,Business ,Business,914,2,2,2,4,3,2,3,3,3,2,4,3,4,3,0,0
dissatisfied,Male,loyal,42,Personal ,Business,1178,2,5,2,2,5,4,5,2,2,2,2,3,2,3,0,0
dissatisfied,Male,disloyal,38,Business ,Business,1328,2,2,2,4,3,2,3,3,4,4,5,5,5,3,17,9
satisfied,Female,disloyal,25,Business ,Business,2281,5,5,5,1,2,5,3,2,3,2,4,4,4,2,1,0
satisfied,Female,loyal,41,Business ,Eco,1947,5,2,2,2,5,5,5,5,3,4,4,3,5,5,0,0
satisfied,Female,loyal,49,Business ,Business,2977,5,5,5,5,5,5,5,4,4,4,4,4,4,5,0,38
dissatisfied,Male,disloyal,37,Business ,Business,2141,2,2,2,2,5,2,4,5,5,2,5,5,5,5,18,43
satisfied,Male,loyal,52,Business ,Business,2618,4,4,4,4,5,5,4,4,4,4,4,5,4,5,0,0
satisfied,Female,loyal,31,Personal ,Eco,2831,2,2,2,2,2,5,5,5,5,5,5,5,5,3,4,0
satisfied,Male,loyal,33,Business ,Business,3215,3,2,3,3,4,4,5,4,5,2,5,5,4,4,0,0
satisfied,Female,loyal,57,Business ,Eco,432,4,5,5,5,3,2,5,4,4,4,4,5,4,3,22,23
dissatisfied,Male,disloyal,27,Business ,Business,3318,2,3,3,4,4,3,4,4,5,5,5,4,5,4,0,0
satisfied,Male,loyal,40,Business ,Business,2354,1,1,1,1,3,4,4,5,5,5,5,3,5,3,3,3
satisfied,Female,loyal,32,Business ,Eco,1211,4,1,1,1,4,4,4,4,3,1,3,5,4,4,0,0
satisfied,Male,loyal,60,Business ,Business,3795,4,4,4,4,2,1,2,4,4,3,4,5,4,3,0,0
dissatisfied,Male,disloyal,39,Business ,Business,2147,3,3,3,5,2,3,2,2,5,5,4,4,4,2,20,11
dissatisfied,Male,loyal,49,Business ,Business,1603,3,5,5,5,5,4,3,3,3,3,3,2,3,1,0,5
dissatisfied,Male,loyal,49,Personal ,Eco,1440,2,0,2,1,4,2,3,4,5,4,5,4,5,4,0,8
satisfied,Male,loyal,53,Business ,Business,3653,3,3,3,3,4,4,5,5,5,5,5,4,5,5,0,0
satisfied,Female,loyal,29,Business ,Eco,5511,4,4,4,4,4,4,4,3,1,4,1,4,5,4,0,0
satisfied,Male,loyal,58,Business ,Business,3566,2,2,2,2,2,5,4,5,5,5,5,5,5,5,0,0
dissatisfied,Male,loyal,51,Business ,Eco,2694,4,3,2,2,4,4,4,4,3,5,4,3,3,4,0,0
satisfied,Female,loyal,23,Personal ,Eco,2524,5,3,3,3,2,4,4,5,5,5,5,1,5,3,7,0
dissatisfied,Female,disloyal,25,Business ,Eco,2222,2,2,2,4,2,2,2,2,1,5,3,4,3,2,95,85
dissatisfied,Male,loyal,49,Personal ,Eco,1699,2,4,2,1,2,2,4,2,3,2,5,4,5,2,0,0
dissatisfied,Female,disloyal,28,Business ,Business,1841,3,3,3,3,1,3,1,1,3,5,4,4,4,1,87,65
dissatisfied,Female,loyal,41,Business ,Business,2997,3,1,1,1,3,3,4,3,3,2,3,1,3,4,60,61
satisfied,Female,loyal,43,Business ,Business,2691,2,2,2,2,5,4,2,4,4,4,3,5,4,5,0,0
dissatisfied,Male,loyal,47,Personal ,Eco,2292,3,4,3,1,2,3,2,2,3,5,4,5,4,2,1,0
satisfied,Female,loyal,33,Personal ,Eco,1812,0,0,0,4,3,0,3,3,3,5,1,4,2,3,0,0
satisfied,Male,disloyal,42,Business ,Business,4407,4,4,4,1,4,5,3,5,5,5,5,3,5,3,348,300
satisfied,Female,loyal,58,Personal ,Eco,430,5,1,5,1,3,5,3,3,3,2,2,4,2,3,10,0
dissatisfied,Female,loyal,79,Business ,Business,200,3,2,2,2,3,4,3,1,1,2,3,3,1,1,73,75
dissatisfied,Male,disloyal,18,Business ,Eco,1703,1,0,1,3,2,1,3,2,2,2,5,5,1,2,0,0
satisfied,Female,loyal,42,Business ,Business,3323,1,1,4,1,3,4,5,4,4,4,5,3,4,5,1,0
dissatisfied,Female,disloyal,30,Business ,Business,3746,2,3,3,4,1,3,1,1,3,4,5,3,5,1,0,0
dissatisfied,Female,loyal,38,Business ,Eco,2001,2,3,3,3,2,2,2,2,1,3,3,1,3,2,0,8
dissatisfied,Female,loyal,32,Business ,Business,2293,1,3,3,3,1,1,1,1,4,1,3,3,3,1,0,0
satisfied,Female,loyal,37,Business ,Business,4008,2,2,2,2,3,2,2,5,5,5,5,2,5,4,0,0
satisfied,Male,loyal,39,Business ,Business,625,2,2,2,2,3,5,4,5,5,5,5,3,5,5,23,26
satisfied,Female,disloyal,21,Business ,Eco,1650,4,0,4,1,5,4,5,5,5,5,4,3,1,5,0,0
dissatisfied,Male,loyal,25,Business ,Eco Plus,1600,4,4,4,4,4,4,2,4,2,3,3,1,3,4,3,0
dissatisfied,Male,disloyal,50,Business ,Business,2011,2,2,2,4,2,2,2,2,3,2,5,3,4,2,0,0
satisfied,Female,loyal,23,Personal ,Eco,3421,4,1,1,1,2,4,4,4,4,4,4,4,4,5,14,24
satisfied,Female,loyal,37,Business ,Business,360,2,2,2,2,3,5,5,4,4,4,4,4,4,5,0,0
dissatisfied,Female,disloyal,38,Business ,Eco,1308,4,2,4,4,2,4,2,2,3,3,4,1,4,2,0,0
dissatisfied,Male,loyal,59,Personal ,Eco,3059,1,4,1,1,4,1,4,4,3,4,4,3,5,4,0,4
dissatisfied,Female,loyal,41,Personal ,Eco,1738,4,4,3,2,4,3,4,4,3,4,4,4,5,4,0,0
satisfied,Female,disloyal,24,Business ,Business,2569,4,3,4,2,3,4,3,3,3,4,5,3,4,3,13,16
satisfied,Male,loyal,41,Business ,Business,3681,0,4,0,5,4,4,4,2,2,2,2,5,2,4,0,4
satisfied,Female,disloyal,22,Business ,Business,1742,5,5,5,1,5,5,5,5,5,5,5,4,4,5,13,0
dissatisfied,Male,loyal,66,Business ,Business,1979,3,1,1,1,4,4,3,3,3,3,3,2,3,4,0,0
dissatisfied,Male,loyal,19,Personal ,Eco,2021,2,4,0,4,1,0,1,1,3,3,4,5,5,1,0,0
dissatisfied,Male,loyal,67,Personal ,Eco,3507,2,5,2,4,2,2,2,2,5,3,3,4,5,2,0,0
satisfied,Male,loyal,28,Business ,Business,5174,4,4,4,4,5,5,5,5,4,4,4,4,4,5,0,0
satisfied,Female,loyal,59,Business ,Business,299,4,4,4,4,4,4,5,4,4,4,4,3,4,3,0,0
satisfied,Male,loyal,30,Business ,Business,2669,3,3,5,3,5,5,5,5,3,4,4,5,5,5,34,38
dissatisfied,Male,loyal,33,Business ,Eco Plus,5816,2,5,5,5,3,2,2,4,5,3,3,2,3,2,16,13
satisfied,Male,loyal,44,Business ,Business,3321,2,2,2,2,3,4,5,4,4,4,4,5,4,4,27,18
satisfied,Female,loyal,13,Personal ,Eco,2367,5,2,5,3,4,5,4,4,4,5,3,4,3,4,0,13
satisfied,Female,loyal,64,Personal ,Eco,249,3,3,3,3,3,3,5,4,4,4,4,3,4,3,2,0
satisfied,Male,loyal,58,Business ,Business,2004,3,3,3,3,2,4,5,4,4,4,4,3,4,5,0,0
satisfied,Female,loyal,41,Business ,Business,1771,0,0,0,5,5,5,4,2,2,2,2,4,2,5,24,6
dissatisfied,Female,disloyal,38,Business ,Eco,1805,2,1,2,3,2,3,2,4,3,2,3,2,4,2,196,214
satisfied,Female,loyal,24,Business ,Business,2467,3,3,3,3,4,4,4,4,5,5,3,4,4,4,0,0
satisfied,Male,disloyal,30,Business ,Eco,2727,0,0,0,3,3,0,4,3,3,4,4,1,1,3,0,12
dissatisfied,Female,loyal,31,Business ,Business,1374,1,3,4,4,4,4,1,4,1,1,3,4,3,4,81,71
satisfied,Female,loyal,31,Business ,Eco Plus,2541,0,0,0,1,2,0,2,2,5,1,1,2,2,2,0,0
dissatisfied,Female,disloyal,38,Business ,Eco,2385,2,4,2,2,5,2,5,5,1,2,4,3,3,5,0,0
satisfied,Female,loyal,24,Personal ,Eco Plus,1732,2,3,2,2,2,4,5,4,4,5,4,5,4,3,29,18
satisfied,Male,loyal,25,Business ,Business,3673,1,1,1,1,5,5,5,5,3,3,3,3,5,5,1,0
dissatisfied,Female,loyal,26,Personal ,Eco,3348,1,5,0,3,0,5,5,5,3,4,3,5,1,5,196,169
satisfied,Female,loyal,45,Business ,Business,1060,2,2,2,2,5,2,2,5,5,5,5,1,5,1,16,25
satisfied,Female,loyal,42,Business ,Business,244,1,1,1,1,5,4,5,5,5,5,4,5,5,5,0,0
satisfied,Female,loyal,42,Business ,Business,444,2,2,2,2,5,5,3,5,5,4,5,3,5,3,0,0
satisfied,Female,loyal,29,Personal ,Eco,1666,5,5,5,5,2,4,5,2,2,2,2,4,2,4,0,4
dissatisfied,Female,loyal,55,Business ,Business,2246,4,3,3,3,3,4,3,4,4,4,4,3,4,1,111,77
dissatisfied,Male,loyal,44,Personal ,Eco,2045,2,4,2,1,2,2,4,2,4,2,5,5,5,2,0,0
satisfied,Male,loyal,47,Business ,Business,1261,3,3,3,3,2,5,4,4,4,4,4,5,4,5,0,0
satisfied,Female,loyal,44,Business ,Business,651,5,5,5,5,3,4,5,4,4,4,4,4,4,3,0,0
satisfied,Female,loyal,42,Business ,Business,1627,1,1,1,1,3,4,4,4,4,4,4,5,4,3,0,2
satisfied,Female,loyal,56,Business ,Business,2938,1,1,1,1,5,5,5,5,2,5,5,5,5,5,54,45
satisfied,Female,loyal,47,Business ,Business,87,2,2,2,2,3,5,2,5,5,5,4,2,5,5,18,16
satisfied,Female,loyal,42,Business ,Business,1034,2,2,3,2,2,4,4,4,4,4,4,4,4,3,50,42
satisfied,Male,loyal,53,Business ,Business,2907,2,2,2,2,5,4,5,4,4,4,4,5,4,3,0,0
satisfied,Female,loyal,38,Personal ,Eco,1925,3,3,3,3,5,5,1,3,3,3,3,4,3,1,0,12
satisfied,Male,loyal,36,Business ,Business,2048,5,5,5,5,4,4,4,3,2,5,5,4,5,4,163,148
dissatisfied,Female,disloyal,24,Business ,Eco,2078,3,3,3,2,1,3,1,1,3,4,5,5,4,1,0,0
satisfied,Female,loyal,29,Business ,Eco Plus,2462,5,4,4,4,5,5,5,5,5,4,1,1,3,5,0,0
