survived,fare,pclass,sex,age,sibsp,parch
1,26.55,1,female,64,1,1
0,71.2833,1,male,39,1,0
1,71.2833,1,female,38,1,0
1,26.55,1,male,51,0,0
1,30.5,1,male,27,0,0
1,151.55,1,female,33,0,0
0,52,1,male,31,1,0
1,52,1,female,27,1,2
1,57,1,male,31,1,0
1,57,1,female,17,1,0
1,81.8583,1,male,53,1,1
1,81.8583,1,male,4,0,2
1,81.8583,1,female,54,1,1
0,106.425,1,male,50,1,0
1,247.5208,1,female,27,1,1
1,106.425,1,female,48,1,0
1,39.6,1,female,48,1,0
1,56.9292,1,male,49,1,0
0,29.7,1,male,39,0,0
1,83.1583,1,female,23,0,1
1,227.525,1,female,38,0,0
1,78.2667,1,female,54,1,0
0,31.6792,1,female,36,0,0
0,221.7792,1,male,NA,0,0
1,31.6833,1,female,NA,0,0
1,110.8833,1,female,NA,0,0
1,26.3875,1,male,36,0,0
0,27.75,1,male,30,0,0
1,263,1,female,24,3,2
1,263,1,female,28,3,2
1,263,1,female,23,3,2
0,263,1,male,19,3,2
0,263,1,male,64,1,4
1,263,1,female,60,1,4
1,56.9292,1,female,30,0,0
0,26.55,1,male,NA,0,0
1,133.65,1,male,50,2,0
1,27.7208,1,male,43,1,0
1,133.65,1,female,NA,1,0
1,49.5,1,female,22,0,2
1,79.2,1,male,60,1,1
1,79.2,1,female,48,1,1
0,0,1,male,NA,0,0
0,53.1,1,male,37,1,0
1,53.1,1,female,35,1,0
0,38.5,1,male,47,0,0
1,211.5,1,female,35,0,0
1,59.4,1,female,22,0,1
1,59.4,1,female,45,0,1
0,79.2,1,male,24,0,0
1,89.1042,1,male,49,1,0
1,89.1042,1,female,NA,1,0
0,34.6542,1,male,71,0,0
1,28.5,1,male,53,0,0
1,30,1,female,19,0,0
0,153.4625,1,male,38,0,1
1,153.4625,1,female,58,0,1
1,63.3583,1,male,23,0,1
1,63.3583,1,female,45,0,1
0,79.2,1,male,46,0,0
1,55.4417,1,male,25,1,0
1,55.4417,1,female,25,1,0
1,76.7292,1,male,48,1,0
1,76.7292,1,female,49,1,0
0,42.4,1,male,NA,0,0
0,83.475,1,male,45,1,0
1,83.475,1,female,35,1,0
0,0,1,male,40,0,0
1,76.7292,1,male,27,0,0
1,30,1,male,NA,0,0
1,83.1583,1,female,24,0,0
0,93.5,1,male,55,1,1
1,93.5,1,female,52,1,1
0,42.5,1,male,42,0,0
0,51.8625,1,male,NA,0,0
0,50,1,male,55,0,0
1,57.9792,1,female,16,0,1
1,57.9792,1,female,44,0,1
1,77.9583,1,female,51,1,0
0,52,1,male,42,1,0
1,52,1,female,35,1,0
1,26.55,1,male,35,0,0
1,90,1,male,38,1,0
0,30.6958,1,male,NA,0,0
1,90,1,female,35,1,0
1,80,1,female,38,0,0
0,28.7125,1,female,50,0,0
1,0,1,male,49,0,0
0,26,1,male,46,0,0
0,26,1,male,50,0,0
0,211.5,1,male,32.5,0,0
0,29.7,1,male,58,0,0
0,51.8625,1,male,41,1,0
1,51.8625,1,female,NA,1,0
1,52.5542,1,male,42,1,0
1,52.5542,1,female,45,1,0
0,26.55,1,male,NA,0,0
1,211.3375,1,female,39,0,0
1,25.9292,1,female,49,0,0
1,106.425,1,female,30,0,0
1,512.3292,1,male,35,0,0
0,27.7208,1,male,NA,0,0
0,26.55,1,male,42,0,0
1,27.7208,1,female,55,0,0
1,39.4,1,female,16,0,1
1,39.4,1,female,51,0,1
0,30,1,male,29,0,0
1,77.9583,1,female,21,0,0
0,45.5,1,male,30,0,0
1,146.5208,1,female,58,0,0
1,211.3375,1,female,15,0,1
0,26,1,male,30,0,0
1,86.5,1,female,16,0,0
1,29.7,1,male,NA,0,0
0,53.1,1,male,19,1,0
1,53.1,1,female,18,1,0
1,49.5042,1,female,24,0,0
0,75.2417,1,male,46,0,0
0,51.8625,1,male,54,0,0
1,26.2875,1,male,36,0,0
0,82.1708,1,male,28,1,0
1,82.1708,1,female,NA,1,0
0,26.55,1,male,65,0,0
0,90,1,male,44,2,0
1,90,1,female,33,1,0
1,90,1,female,37,1,0
1,57.75,1,male,30,1,0
0,30.5,1,male,55,0,0
0,42.4,1,male,47,0,0
0,29.7,1,male,37,0,1
1,113.275,1,female,31,1,0
1,113.275,1,female,23,1,0
0,113.275,1,male,58,0,2
1,26.2833,1,female,19,0,2
0,26,1,male,64,0,0
1,108.9,1,female,39,0,0
1,25.7417,1,male,NA,0,0
1,61.9792,1,female,22,0,1
0,61.9792,1,male,65,0,1
0,27.7208,1,male,28.5,0,0
0,0,1,male,NA,0,0
0,28.5,1,male,45.5,0,0
0,93.5,1,male,23,0,0
0,66.6,1,male,29,1,0
1,66.6,1,female,22,1,0
0,108.9,1,male,18,1,0
1,108.9,1,female,17,1,0
1,93.5,1,female,30,0,0
1,30.5,1,male,52,0,0
0,52,1,male,47,0,0
1,83.1583,1,female,56,0,1
0,0,1,male,38,0,0
1,39.6,1,male,NA,0,0
0,135.6333,1,male,22,0,0
0,227.525,1,male,NA,0,0
1,211.3375,1,female,43,0,1
0,50.4958,1,male,31,0,0
1,26.55,1,male,45,0,0
0,50,1,male,NA,0,0
1,27.7208,1,female,33,0,0
0,79.2,1,male,46,0,0
0,40.125,1,male,36,0,0
1,86.5,1,female,33,0,0
0,59.4,1,male,55,1,0
1,59.4,1,female,54,1,0
0,26.55,1,male,33,0,0
1,262.375,1,male,13,2,2
1,262.375,1,female,18,2,2
1,262.375,1,female,21,2,2
0,262.375,1,male,61,1,3
1,262.375,1,female,48,1,3
1,30.5,1,male,NA,0,0
1,69.3,1,female,24,0,0
1,26,1,male,NA,0,0
1,57.75,1,female,35,1,0
1,31,1,female,30,0,0
1,26.55,1,male,34,0,0
1,153.4625,1,female,40,0,0
1,26.2875,1,male,35,0,0
0,55.9,1,male,50,1,0
1,55.9,1,female,39,1,0
1,35.5,1,male,56,0,0
1,35.5,1,male,28,0,0
0,26.55,1,male,56,0,0
0,30.6958,1,male,56,0,0
0,60,1,male,24,1,0
0,26,1,male,NA,0,0
1,60,1,female,18,1,0
1,82.2667,1,male,24,1,0
1,82.2667,1,female,23,1,0
1,134.5,1,male,6,0,2
1,134.5,1,male,45,1,1
1,134.5,1,female,40,1,1
0,146.5208,1,male,57,1,0
1,146.5208,1,female,NA,1,0
1,30.5,1,male,32,0,0
0,26.55,1,male,62,0,0
1,55.4417,1,male,54,1,0
1,55.4417,1,female,43,1,0
1,78.2667,1,female,52,1,0
0,27.7208,1,male,NA,0,0
1,80,1,female,62,0,0
0,221.7792,1,male,67,1,0
0,221.7792,1,female,63,1,0
0,32.3208,1,male,61,0,0
1,25.9292,1,female,48,0,0
1,79.65,1,female,18,0,2
0,79.65,1,male,52,1,1
1,79.65,1,female,39,1,1
1,52,1,male,48,1,0
1,52,1,female,NA,1,0
0,110.8833,1,male,49,1,1
1,110.8833,1,male,17,0,2
1,110.8833,1,female,39,1,1
1,79.2,1,female,NA,0,0
1,28.5375,1,male,31,0,0
0,27.7208,1,male,40,0,0
0,33.5,1,male,61,0,0
0,34.0208,1,male,47,0,0
1,512.3292,1,female,35,0,0
0,75.25,1,male,64,1,0
1,75.25,1,female,60,1,0
0,26.55,1,male,60,0,0
0,77.2875,1,male,54,0,1
0,77.2875,1,male,21,0,1
1,135.6333,1,female,55,0,0
1,164.8667,1,female,31,0,2
0,164.8667,1,male,57,1,1
1,164.8667,1,female,45,1,1
0,211.5,1,male,50,1,1
0,211.5,1,male,27,0,2
1,211.5,1,female,50,1,1
1,26.55,1,female,21,0,0
0,61.3792,1,male,51,0,1
1,61.3792,1,male,21,0,1
0,35,1,male,NA,0,0
1,134.5,1,female,31,0,0
1,35.5,1,male,NA,0,0
0,26.55,1,male,62,0,0
1,135.6333,1,female,36,0,0
0,24,2,male,30,1,0
1,24,2,female,28,1,0
0,13,2,male,30,0,0
0,11.5,2,male,18,0,0
0,10.5,2,male,25,0,0
0,26,2,male,34,1,0
1,26,2,female,36,1,0
0,13,2,male,57,0,0
0,11.5,2,male,18,0,0
0,10.5,2,male,23,0,0
1,13,2,female,36,0,0
0,10.5,2,male,28,0,0
0,12.525,2,male,51,0,0
1,26,2,male,32,1,0
1,26,2,female,19,1,0
0,26,2,male,28,0,0
1,39,2,male,1,2,1
1,39,2,female,4,2,1
1,39,2,female,12,2,1
1,39,2,female,36,0,3
1,13,2,male,34,0,0
1,13,2,female,19,0,0
0,13,2,male,23,0,0
0,13,2,male,26,0,0
0,13,2,male,42,0,0
0,13,2,male,27,0,0
1,13,2,female,24,0,0
1,39,2,female,15,0,2
0,39,2,male,60,1,1
1,39,2,female,40,1,1
1,26,2,female,20,1,0
0,26,2,male,25,1,0
1,13,2,female,36,0,0
0,13,2,male,25,0,0
0,13,2,male,42,0,0
1,13,2,female,42,0,0
1,29,2,male,0.8333,0,2
1,29,2,male,26,1,1
1,29,2,female,22,1,1
1,21,2,female,35,0,0
0,0,2,male,NA,0,0
0,13,2,male,19,0,0
0,26,2,female,44,1,0
0,26,2,male,54,1,0
0,13.5,2,male,52,0,0
0,26,2,male,37,1,0
0,26,2,female,29,1,0
1,30,2,female,25,1,1
1,30,2,female,45,0,2
0,26,2,male,29,1,0
1,26,2,female,28,1,0
0,10.5,2,male,29,0,0
0,13,2,male,28,0,0
1,10.5,2,male,24,0,0
1,26.25,2,female,8,0,2
0,26.25,2,male,31,1,1
1,26.25,2,female,31,1,1
1,10.5,2,female,22,0,0
0,13,2,female,30,0,0
0,21,2,female,NA,0,0
0,11.5,2,male,21,0,0
0,0,2,male,NA,0,0
1,36.75,2,male,8,1,1
0,73.5,2,male,18,0,0
1,36.75,2,female,48,0,2
1,13,2,female,28,0,0
0,13,2,male,32,0,0
0,73.5,2,male,17,0,0
0,27.7208,2,male,29,1,0
1,27.7208,2,female,24,1,0
0,31.5,2,male,25,0,0
0,73.5,2,male,18,0,0
1,23,2,female,18,0,1
1,23,2,female,34,0,1
0,26,2,male,54,0,0
1,32.5,2,male,8,0,2
0,32.5,2,male,42,1,1
1,32.5,2,female,34,1,1
1,13.8583,2,female,27,1,0
1,13.8583,2,female,30,1,0
0,13,2,male,23,0,0
0,13,2,male,21,0,0
0,13,2,male,18,0,0
0,26,2,male,40,1,0
1,26,2,female,29,1,0
0,10.5,2,male,18,0,0
0,13,2,male,36,0,0
0,0,2,male,NA,0,0
0,13,2,female,38,0,0
0,26,2,male,35,0,0
0,21,2,male,38,1,0
0,21,2,male,34,1,0
1,13,2,female,34,0,0
0,26,2,male,16,0,0
0,10.5,2,male,26,0,0
0,10.5,2,male,47,0,0
0,11.5,2,male,21,1,0
0,11.5,2,male,21,1,0
0,13.5,2,male,24,0,0
0,13,2,male,24,0,0
0,13,2,male,34,0,0
0,13,2,male,30,0,0
0,13,2,male,52,0,0
0,13,2,male,30,0,0
1,14.5,2,male,0.6667,1,1
1,14.5,2,female,24,0,2
0,13,2,male,44,0,0
1,33,2,female,6,0,1
0,33,2,male,28,0,1
1,10.5,2,male,62,0,0
0,10.5,2,male,30,0,0
1,26.25,2,female,7,0,2
0,26.25,2,male,43,1,1
1,26.25,2,female,45,1,1
1,65,2,female,24,1,2
1,65,2,female,24,1,2
0,65,2,male,49,1,2
1,65,2,female,48,1,2
1,16,2,female,55,0,0
0,73.5,2,male,24,2,0
0,73.5,2,male,32,2,0
0,73.5,2,male,21,2,0
0,13,2,female,18,1,1
1,23,2,female,20,2,1
0,11.5,2,male,23,2,1
0,13,2,male,36,0,0
1,23,2,female,54,1,3
0,13,2,male,50,0,0
0,26,2,male,44,1,0
1,26,2,female,29,1,0
0,73.5,2,male,21,0,0
1,13,2,male,42,0,0
0,26,2,male,63,1,0
0,26,2,female,60,1,0
0,12.275,2,male,33,0,0
1,10.5,2,female,17,0,0
0,27,2,male,42,1,0
1,27,2,female,24,2,1
0,15,2,male,47,0,0
0,31.5,2,male,24,2,0
0,31.5,2,male,22,2,0
0,10.5,2,male,32,0,0
1,13.7917,2,female,23,0,0
0,26,2,male,34,1,0
1,26,2,female,24,1,0
0,21,2,female,22,0,0
1,12.35,2,female,NA,0,0
0,12.35,2,male,35,0,0
1,13.5,2,female,45,0,0
0,12.35,2,male,57,0,0
0,0,2,male,NA,0,0
0,10.5,2,male,31,0,0
0,26,2,female,26,1,1
0,26,2,male,30,1,1
0,10.7083,2,male,NA,0,0
1,41.5792,2,female,1,1,2
1,41.5792,2,female,3,1,2
0,41.5792,2,male,25,1,2
1,41.5792,2,female,22,1,2
1,12,2,female,17,0,0
1,33,2,female,NA,0,0
1,10.5,2,female,34,0,0
0,12.875,2,male,36,0,0
0,10.5,2,male,24,0,0
0,12.35,2,male,61,0,0
0,26,2,male,50,1,0
1,26,2,female,42,1,0
0,10.5,2,female,57,0,0
0,15.0458,2,male,NA,0,0
1,37.0042,2,male,1,0,2
0,37.0042,2,male,31,1,1
1,37.0042,2,female,24,1,1
0,15.5792,2,male,NA,0,0
0,13,2,male,30,0,0
0,16,2,male,40,0,0
0,13.5,2,male,32,0,0
0,13,2,male,30,0,0
0,26,2,male,46,0,0
1,19.5,2,female,13,0,1
1,19.5,2,female,41,0,1
1,10.5,2,male,19,0,0
0,13,2,male,39,0,0
0,13,2,male,48,0,0
0,10.5,2,male,70,0,0
0,13,2,male,27,0,0
0,14,2,male,54,0,0
0,26,2,male,39,0,0
0,10.5,2,male,16,0,0
0,9.6875,2,male,62,0,0
0,30.0708,2,male,32.5,1,0
1,30.0708,2,female,14,1,0
1,26,2,male,2,1,1
1,26,2,male,3,1,1
0,26,2,male,36.5,0,2
0,13,2,male,26,0,0
0,36.75,2,male,19,1,1
0,13.5,2,male,28,0,0
1,13.8625,2,male,20,0,0
1,10.5,2,female,29,0,0
0,13,2,male,39,0,0
1,10.5,2,male,22,0,0
1,13.8625,2,male,NA,0,0
0,10.5,2,male,23,0,0
1,13.8583,2,male,29,0,0
0,10.5,2,male,28,0,0
0,0,2,male,NA,0,0
1,26,2,female,50,0,1
0,10.5,2,male,19,0,0
0,15.05,2,male,NA,0,0
0,13,2,male,41,0,0
1,21,2,female,21,0,1
1,26,2,female,19,0,0
0,21,2,male,43,0,1
1,13,2,female,32,0,0
0,13,2,male,34,0,0
1,12.7375,2,male,30,0,0
0,15.0333,2,male,27,0,0
1,26,2,female,2,1,1
1,26,2,female,8,1,1
1,26,2,female,33,0,2
0,10.5,2,male,36,0,0
0,21,2,male,34,1,0
1,21,2,female,30,3,0
1,13,2,female,28,0,0
0,15.0458,2,male,23,0,0
1,18.75,2,male,0.8333,1,1
1,18.75,2,male,3,1,1
1,18.75,2,female,24,2,3
1,10.5,2,female,50,0,0
0,10.5,2,male,19,0,0
1,10.5,2,female,21,0,0
0,13,2,male,26,0,0
0,13,2,male,25,0,0
0,26,2,male,27,0,0
1,26,2,female,25,0,1
1,13,2,female,18,0,2
1,36.75,2,female,20,0,0
1,13,2,female,30,0,0
0,13.5,2,male,59,0,0
1,12.35,2,female,30,0,0
0,10.5,2,male,35,0,0
1,13,2,female,40,0,0
0,13,2,male,25,0,0
0,15.0458,2,male,41,0,0
0,10.5,2,male,25,0,0
0,13,2,male,18.5,0,0
0,65,2,male,14,0,0
1,10.5,2,female,50,0,0
0,13,2,male,23,0,0
1,12.65,2,female,28,0,0
1,10.5,2,female,27,0,0
0,21,2,male,29,1,0
0,21,2,female,27,1,0
0,13,2,male,40,0,0
1,21,2,female,31,0,0
0,21,2,male,30,1,0
0,10.5,2,male,23,1,0
1,21,2,female,31,0,0
0,0,2,male,NA,0,0
1,15.75,2,female,12,0,0
1,15.75,2,female,40,0,0
1,13,2,female,32.5,0,0
0,26,2,male,27,1,0
1,26,2,female,29,1,0
1,23,2,male,2,1,1
1,23,2,female,4,1,1
1,23,2,female,29,0,2
1,27.75,2,female,0.9167,1,2
1,27.75,2,female,5,1,2
0,27.75,2,male,36,1,2
1,27.75,2,female,33,1,2
0,10.5,2,male,66,0,0
0,12.875,2,male,NA,0,0
1,13,2,male,31,0,0
1,13,2,male,NA,0,0
1,13.5,2,female,26,0,0
0,13,2,female,24,0,0
0,7.55,3,male,42,0,0
0,20.25,3,male,13,0,2
0,20.25,3,male,16,1,1
1,20.25,3,female,35,1,1
1,7.65,3,female,16,0,0
1,7.65,3,male,25,0,0
1,7.925,3,male,20,0,0
1,7.2292,3,female,18,0,0
0,7.25,3,male,30,0,0
0,8.05,3,male,26,0,0
0,9.475,3,female,40,1,0
1,9.35,3,male,0.8333,0,1
1,9.35,3,female,18,0,1
1,18.7875,3,male,26,0,0
0,7.8875,3,male,26,0,0
0,7.925,3,male,20,0,0
0,7.05,3,male,24,0,0
0,7.05,3,male,25,0,0
0,8.05,3,male,35,0,0
0,8.3,3,male,18,0,0
0,22.525,3,male,32,0,0
1,7.8542,3,female,19,1,0
0,31.275,3,male,4,4,2
0,31.275,3,female,6,4,2
0,31.275,3,female,2,4,2
1,7.925,3,female,17,4,2
0,7.775,3,female,38,4,2
0,31.275,3,female,9,4,2
0,31.275,3,female,11,4,2
0,31.275,3,male,39,1,5
1,7.7958,3,male,27,0,0
0,7.775,3,male,26,0,0
0,31.275,3,female,39,1,5
0,7.8542,3,male,20,0,0
0,7.8958,3,male,26,0,0
0,17.8,3,male,25,1,0
0,17.8,3,female,18,1,0
0,7.775,3,male,24,0,0
0,7.05,3,male,35,0,0
0,31.3875,3,male,5,4,2
0,31.3875,3,male,9,4,2
1,31.3875,3,male,3,4,2
0,31.3875,3,male,13,4,2
1,31.3875,3,female,5,4,2
0,31.3875,3,male,40,1,5
1,7.7958,3,male,23,0,0
1,31.3875,3,female,38,1,5
1,7.225,3,female,45,0,0
0,7.225,3,male,21,0,0
0,7.05,3,male,23,0,0
0,14.4583,3,female,17,0,0
0,7.225,3,male,30,0,0
0,7.8542,3,male,23,0,0
1,7.2292,3,female,13,0,0
0,7.225,3,male,20,0,0
0,15.85,3,male,32,1,0
1,15.85,3,female,33,3,0
1,19.2583,3,female,0.75,2,1
1,19.2583,3,female,0.75,2,1
1,19.2583,3,female,5,2,1
1,19.2583,3,female,24,0,3
1,8.05,3,female,18,0,0
0,7.225,3,male,40,0,0
0,7.8958,3,male,26,0,0
1,7.2292,3,male,20,0,0
0,14.4542,3,female,18,0,1
0,14.4542,3,female,45,0,1
0,7.8792,3,female,27,0,0
0,8.05,3,male,22,0,0
0,8.05,3,male,19,0,0
0,7.775,3,male,26,0,0
0,9.35,3,male,22,0,0
0,7.2292,3,male,NA,0,0
0,4.0125,3,male,20,0,0
1,56.4958,3,male,32,0,0
0,7.775,3,male,21,0,0
0,7.75,3,male,18,0,0
0,7.8958,3,male,26,0,0
0,15.2458,3,male,6,1,1
0,15.2458,3,female,9,1,1
0,7.225,3,male,NA,0,0
0,15.2458,3,female,NA,0,2
0,7.75,3,female,NA,0,2
0,15.5,3,male,40,1,1
0,15.5,3,female,32,1,1
0,16.1,3,male,21,0,0
1,7.725,3,female,22,0,0
0,7.8542,3,female,20,0,0
0,7.0458,3,male,29,1,0
0,7.25,3,male,22,1,0
0,7.7958,3,male,22,0,0
0,8.05,3,male,35,0,0
0,7.2833,3,female,18.5,0,0
1,7.8208,3,male,21,0,0
0,6.75,3,male,19,0,0
0,7.8792,3,female,18,0,0
0,8.6625,3,female,21,0,0
0,8.6625,3,female,30,0,0
0,8.6625,3,male,18,0,0
0,8.6625,3,male,38,0,0
0,8.6625,3,male,17,0,0
0,8.6625,3,male,17,0,0
0,7.75,3,female,21,0,0
0,7.75,3,male,21,0,0
0,8.05,3,male,21,0,0
0,14.4583,3,male,NA,1,0
0,14.4583,3,female,NA,1,0
0,7.7958,3,male,28,0,0
0,7.8542,3,male,24,0,0
1,7.75,3,female,16,0,0
0,7.75,3,female,37,0,0
0,7.25,3,male,28,0,0
0,8.05,3,male,24,0,0
0,7.7333,3,male,21,0,0
1,56.4958,3,male,32,0,0
0,8.05,3,male,29,0,0
0,14.4542,3,male,26,1,0
0,14.4542,3,male,18,1,0
0,7.05,3,male,20,0,0
1,8.05,3,male,18,0,0
0,7.25,3,male,24,0,0
0,7.4958,3,male,36,0,0
0,7.4958,3,male,24,0,0
0,7.7333,3,male,31,0,0
0,7.75,3,male,31,0,0
1,7.75,3,female,22,0,0
0,7.6292,3,female,30,0,0
0,7.75,3,male,70.5,0,0
0,8.05,3,male,43,0,0
0,7.8958,3,male,35,0,0
0,7.8958,3,male,27,0,0
0,7.8958,3,male,19,0,0
0,8.05,3,male,30,0,0
1,15.9,3,male,9,1,1
1,15.9,3,male,3,1,1
1,15.9,3,female,36,0,2
0,7.25,3,male,59,0,0
0,8.1583,3,male,19,0,0
1,16.1,3,female,17,0,1
0,16.1,3,male,44,0,1
0,8.6625,3,male,17,0,0
0,7.225,3,male,22.5,0,0
1,8.05,3,male,45,0,0
0,10.5167,3,female,22,0,0
0,10.1708,3,male,19,0,0
1,6.95,3,female,30,0,0
1,7.75,3,male,29,0,0
0,14.4,3,male,0.3333,0,2
0,14.4,3,male,34,1,1
0,14.4,3,female,28,1,1
0,7.8958,3,male,27,0,0
0,7.8958,3,male,25,0,0
0,24.15,3,male,24,2,0
0,8.05,3,male,22,0,0
0,24.15,3,male,21,2,0
0,8.05,3,male,17,2,0
0,16.1,3,male,NA,1,0
1,16.1,3,female,NA,1,0
1,17.4,3,male,36.5,1,0
1,17.4,3,female,36,1,0
1,9.5,3,male,30,0,0
0,9.5,3,male,16,0,0
1,20.575,3,male,1,1,2
1,20.575,3,female,0.1667,1,2
0,20.575,3,male,26,1,2
1,20.575,3,female,33,1,2
0,7.8958,3,male,25,0,0
0,7.8958,3,male,NA,0,0
0,7.8958,3,male,NA,0,0
0,7.25,3,male,22,0,0
0,7.25,3,male,36,0,0
1,7.8792,3,female,19,0,0
0,7.8958,3,male,17,0,0
0,8.6625,3,male,42,0,0
0,7.8958,3,male,43,0,0
0,7.2292,3,male,NA,0,0
0,7.75,3,male,32,0,0
1,8.05,3,male,19,0,0
1,12.475,3,female,30,0,0
0,7.75,3,female,24,0,0
1,8.05,3,female,23,0,0
0,7.8958,3,male,33,0,0
0,7.75,3,male,65,0,0
1,7.55,3,male,24,0,0
0,13.9,3,male,23,1,0
1,13.9,3,female,22,1,0
0,7.775,3,male,18,0,0
0,7.775,3,male,16,0,0
0,6.975,3,male,45,0,0
0,7.225,3,male,NA,0,0
0,7.2292,3,male,39,0,2
0,7.2292,3,male,17,1,1
0,7.2292,3,male,15,1,1
0,7.25,3,male,47,0,0
1,12.475,3,female,5,0,0
0,7.225,3,male,NA,0,0
0,15.1,3,male,40.5,0,0
0,7.75,3,male,40.5,0,0
1,7.05,3,male,NA,0,0
0,7.7958,3,male,18,0,0
0,7.75,3,female,NA,0,0
0,7.75,3,male,NA,0,0
0,6.95,3,male,NA,0,0
0,7.8792,3,male,26,0,0
0,7.75,3,male,NA,0,0
1,56.4958,3,male,NA,0,0
0,34.375,3,female,21,2,2
0,34.375,3,female,9,2,2
0,8.05,3,male,NA,0,0
0,34.375,3,male,18,2,2
0,34.375,3,male,16,1,3
0,34.375,3,female,48,1,3
0,7.75,3,male,NA,0,0
0,7.25,3,male,NA,0,0
0,7.7417,3,male,25,0,0
0,14.5,3,male,NA,0,0
0,7.8958,3,male,NA,0,0
0,8.05,3,male,22,0,0
1,7.7333,3,female,16,0,0
1,7.75,3,female,NA,0,0
1,20.525,3,male,9,0,2
0,20.525,3,male,33,1,1
0,7.85,3,male,41,0,0
1,20.525,3,female,31,1,1
0,7.05,3,male,38,0,0
0,46.9,3,male,9,5,2
0,46.9,3,male,1,5,2
0,46.9,3,male,11,5,2
0,46.9,3,female,10,5,2
0,46.9,3,female,16,5,2
0,46.9,3,male,14,5,2
0,46.9,3,male,40,1,6
0,46.9,3,female,43,1,6
0,8.05,3,male,51,0,0
0,8.3625,3,male,32,0,0
0,8.05,3,male,NA,0,0
0,9.8458,3,male,20,0,0
0,7.925,3,male,37,2,0
0,7.925,3,male,28,2,0
0,7.775,3,male,19,0,0
0,8.85,3,female,24,0,0
0,7.7333,3,female,17,0,0
0,19.9667,3,male,NA,1,0
0,19.9667,3,male,NA,1,0
0,15.85,3,male,28,1,0
1,15.85,3,female,24,1,0
0,9.5,3,male,20,0,0
0,7.2292,3,male,23.5,0,0
0,14.1083,3,male,41,2,0
0,7.8542,3,male,26,1,0
0,7.8542,3,male,21,0,0
1,14.1083,3,female,45,1,0
0,7.55,3,female,NA,0,0
0,7.25,3,male,25,0,0
0,6.8583,3,male,NA,0,0
0,18.7875,3,male,11,0,0
1,7.75,3,female,NA,0,0
1,6.975,3,male,27,0,0
1,56.4958,3,male,NA,0,0
0,6.75,3,female,18,0,0
1,7.925,3,female,26,0,0
0,7.925,3,female,23,0,0
1,8.9625,3,female,22,0,0
0,7.8958,3,male,28,0,0
0,7.775,3,female,28,0,0
0,7.75,3,female,NA,0,0
1,12.2875,3,female,2,0,1
1,12.2875,3,female,22,1,1
0,6.45,3,male,43,0,0
0,22.525,3,male,28,0,0
1,7.925,3,female,27,0,0
0,7.75,3,male,NA,0,0
1,8.05,3,female,NA,0,0
0,7.65,3,male,42,0,0
