survived,pclass,sex,age,sibsp,parch,fare
no,1st,male,64,1,4,263
yes,1st,female,60,1,4,263
yes,1st,female,30,0,0,56.9292
yes,1st,male,50,2,0,133.65
yes,1st,male,43,1,0,27.7208
yes,1st,female,22,0,2,49.5
yes,1st,male,60,1,1,79.2
yes,1st,female,48,1,1,79.2
no,1st,male,37,1,0,53.1
yes,1st,female,35,1,0,53.1
no,1st,male,47,0,0,38.5
yes,1st,female,35,0,0,211.5
yes,1st,female,22,0,1,59.4
yes,1st,female,45,0,1,59.4
no,1st,male,24,0,0,79.2
yes,1st,male,49,1,0,89.1042
no,1st,male,71,0,0,34.6542
yes,1st,male,53,0,0,28.5
yes,1st,female,19,0,0,30
no,1st,male,38,0,1,153.4625
yes,1st,female,58,0,1,153.4625
yes,1st,male,23,0,1,63.3583
yes,1st,female,45,0,1,63.3583
no,1st,male,46,0,0,79.2
yes,1st,male,25,1,0,55.4417
yes,1st,female,25,1,0,55.4417
yes,1st,male,48,1,0,76.7292
yes,1st,female,49,1,0,76.7292
no,1st,male,45,1,0,83.475
yes,1st,female,35,1,0,83.475
yes,1st,male,27,0,0,76.7292
yes,1st,female,24,0,0,83.1583
no,1st,male,55,1,1,93.5
yes,1st,female,52,1,1,93.5
no,1st,male,42,0,0,42.5
no,1st,male,55,0,0,50
yes,1st,female,16,0,1,57.9792
yes,1st,female,44,0,1,57.9792
yes,1st,female,51,1,0,77.9583
no,1st,male,42,1,0,52
yes,1st,female,35,1,0,52
yes,1st,male,35,0,0,26.55
yes,1st,male,38,1,0,90
yes,1st,female,35,1,0,90
yes,1st,female,38,0,0,80
no,1st,female,50,0,0,28.7125
no,1st,male,46,0,0,26
no,1st,male,50,0,0,26
no,1st,male,32.5,0,0,211.5
no,1st,male,58,0,0,29.7
no,1st,male,41,1,0,51.8625
yes,1st,male,42,1,0,52.5542
yes,1st,female,45,1,0,52.5542
yes,1st,female,39,0,0,211.3375
yes,1st,female,49,0,0,25.9292
yes,1st,female,30,0,0,106.425
yes,1st,male,35,0,0,512.3292
no,1st,male,42,0,0,26.55
yes,1st,female,55,0,0,27.7208
yes,1st,female,16,0,1,39.4
yes,1st,female,51,0,1,39.4
no,1st,male,29,0,0,30
yes,1st,female,21,0,0,77.9583
no,1st,male,30,0,0,45.5
yes,1st,female,58,0,0,146.5208
yes,1st,female,15,0,1,211.3375
no,1st,male,30,0,0,26
yes,1st,female,16,0,0,86.5
no,1st,male,19,1,0,53.1
yes,1st,female,18,1,0,53.1
yes,1st,female,24,0,0,49.5042
no,1st,male,46,0,0,75.2417
no,1st,male,54,0,0,51.8625
yes,1st,male,36,0,0,26.2875
no,1st,male,28,1,0,82.1708
no,1st,male,65,0,0,26.55
no,1st,male,44,2,0,90
yes,1st,female,33,1,0,90
yes,1st,female,37,1,0,90
yes,1st,male,30,1,0,57.75
no,1st,male,55,0,0,30.5
no,1st,male,47,0,0,42.4
no,1st,male,37,0,1,29.7
yes,1st,female,31,1,0,113.275
yes,1st,female,23,1,0,113.275
no,1st,male,58,0,2,113.275
yes,1st,female,19,0,2,26.2833
no,1st,male,64,0,0,26
yes,1st,female,39,0,0,108.9
yes,1st,female,22,0,1,61.9792
no,1st,male,65,0,1,61.9792
no,1st,male,28.5,0,0,27.7208
no,1st,male,45.5,0,0,28.5
no,1st,male,23,0,0,93.5
no,1st,male,29,1,0,66.6
yes,1st,female,22,1,0,66.6
no,1st,male,18,1,0,108.9
yes,1st,female,17,1,0,108.9
yes,1st,female,30,0,0,93.5
yes,1st,male,52,0,0,30.5
no,1st,male,47,0,0,52
yes,1st,female,56,0,1,83.1583
no,1st,male,22,0,0,135.6333
yes,1st,female,43,0,1,211.3375
no,1st,male,31,0,0,50.4958
yes,1st,male,45,0,0,26.55
yes,1st,female,33,0,0,27.7208
no,1st,male,46,0,0,79.2
no,1st,male,36,0,0,40.125
yes,1st,female,33,0,0,86.5
no,1st,male,55,1,0,59.4
yes,1st,female,54,1,0,59.4
no,1st,male,33,0,0,26.55
yes,1st,male,13,2,2,262.375
yes,1st,female,18,2,2,262.375
yes,1st,female,21,2,2,262.375
no,1st,male,61,1,3,262.375
yes,1st,female,48,1,3,262.375
yes,1st,female,24,0,0,69.3
yes,1st,female,35,1,0,57.75
yes,1st,female,30,0,0,31
yes,1st,male,34,0,0,26.55
yes,1st,female,40,0,0,153.4625
yes,1st,male,35,0,0,26.2875
no,1st,male,50,1,0,55.9
yes,1st,female,39,1,0,55.9
yes,1st,male,56,0,0,35.5
yes,1st,male,28,0,0,35.5
no,1st,male,56,0,0,26.55
no,1st,male,56,0,0,30.6958
no,1st,male,24,1,0,60
yes,1st,female,18,1,0,60
yes,1st,male,24,1,0,82.2667
yes,1st,female,23,1,0,82.2667
yes,1st,male,45,1,1,134.5
yes,1st,female,40,1,1,134.5
no,1st,male,57,1,0,146.5208
yes,1st,male,32,0,0,30.5
no,1st,male,62,0,0,26.55
yes,1st,male,54,1,0,55.4417
yes,1st,female,43,1,0,55.4417
yes,1st,female,52,1,0,78.2667
yes,1st,female,62,0,0,80
no,1st,male,67,1,0,221.7792
no,1st,female,63,1,0,221.7792
no,1st,male,61,0,0,32.3208
yes,1st,female,48,0,0,25.9292
yes,1st,female,18,0,2,79.65
no,1st,male,52,1,1,79.65
yes,1st,female,39,1,1,79.65
yes,1st,male,48,1,0,52
no,1st,male,49,1,1,110.8833
yes,1st,male,17,0,2,110.8833
yes,1st,female,39,1,1,110.8833
yes,1st,male,31,0,0,28.5375
no,1st,male,40,0,0,27.7208
no,1st,male,61,0,0,33.5
no,1st,male,47,0,0,34.0208
yes,1st,female,35,0,0,512.3292
no,1st,male,64,1,0,75.25
yes,1st,female,60,1,0,75.25
no,1st,male,60,0,0,26.55
no,1st,male,54,0,1,77.2875
no,1st,male,21,0,1,77.2875
yes,1st,female,55,0,0,135.6333
yes,1st,female,31,0,2,164.8667
no,1st,male,57,1,1,164.8667
yes,1st,female,45,1,1,164.8667
no,1st,male,50,1,1,211.5
no,1st,male,27,0,2,211.5
yes,1st,female,50,1,1,211.5
yes,1st,female,21,0,0,26.55
no,1st,male,51,0,1,61.3792
yes,1st,male,21,0,1,61.3792
yes,1st,female,31,0,0,134.5
no,1st,male,62,0,0,26.55
yes,1st,female,36,0,0,135.6333
no,2nd,male,30,1,0,24
yes,2nd,female,28,1,0,24
no,2nd,male,30,0,0,13
no,2nd,male,18,0,0,11.5
no,2nd,male,25,0,0,10.5
no,2nd,male,34,1,0,26
yes,2nd,female,36,1,0,26
no,2nd,male,57,0,0,13
no,2nd,male,18,0,0,11.5
no,2nd,male,23,0,0,10.5
yes,2nd,female,36,0,0,13
no,2nd,male,28,0,0,10.5
no,2nd,male,51,0,0,12.525
yes,2nd,male,32,1,0,26
yes,2nd,female,19,1,0,26
no,2nd,male,28,0,0,26
yes,2nd,female,12,2,1,39
yes,2nd,female,36,0,3,39
yes,2nd,male,34,0,0,13
yes,2nd,female,19,0,0,13
no,2nd,male,23,0,0,13
no,2nd,male,26,0,0,13
no,2nd,male,42,0,0,13
no,2nd,male,27,0,0,13
yes,2nd,female,24,0,0,13
yes,2nd,female,15,0,2,39
no,2nd,male,60,1,1,39
yes,2nd,female,40,1,1,39
yes,2nd,female,20,1,0,26
no,2nd,male,25,1,0,26
yes,2nd,female,36,0,0,13
no,2nd,male,25,0,0,13
no,2nd,male,42,0,0,13
yes,2nd,female,42,0,0,13
yes,2nd,male,0.8333,0,2,29
yes,2nd,male,26,1,1,29
yes,2nd,female,22,1,1,29
yes,2nd,female,35,0,0,21
no,2nd,male,19,0,0,13
no,2nd,female,44,1,0,26
no,2nd,male,54,1,0,26
no,2nd,male,52,0,0,13.5
no,2nd,male,37,1,0,26
no,2nd,female,29,1,0,26
yes,2nd,female,25,1,1,30
yes,2nd,female,45,0,2,30
no,2nd,male,29,1,0,26
yes,2nd,female,28,1,0,26
no,2nd,male,29,0,0,10.5
no,2nd,male,28,0,0,13
yes,2nd,male,24,0,0,10.5
no,2nd,male,31,1,1,26.25
yes,2nd,female,31,1,1,26.25
yes,2nd,female,22,0,0,10.5
no,2nd,female,30,0,0,13
no,2nd,male,21,0,0,11.5
no,2nd,male,18,0,0,73.5
yes,2nd,female,48,0,2,36.75
yes,2nd,female,28,0,0,13
no,2nd,male,32,0,0,13
no,2nd,male,17,0,0,73.5
no,2nd,male,29,1,0,27.7208
yes,2nd,female,24,1,0,27.7208
no,2nd,male,25,0,0,31.5
no,2nd,male,18,0,0,73.5
yes,2nd,female,18,0,1,23
yes,2nd,female,34,0,1,23
no,2nd,male,54,0,0,26
no,2nd,male,42,1,1,32.5
yes,2nd,female,34,1,1,32.5
yes,2nd,female,27,1,0,13.8583
yes,2nd,female,30,1,0,13.8583
no,2nd,male,23,0,0,13
no,2nd,male,21,0,0,13
no,2nd,male,18,0,0,13
no,2nd,male,40,1,0,26
yes,2nd,female,29,1,0,26
no,2nd,male,18,0,0,10.5
no,2nd,male,36,0,0,13
no,2nd,female,38,0,0,13
no,2nd,male,35,0,0,26
no,2nd,male,38,1,0,21
no,2nd,male,34,1,0,21
yes,2nd,female,34,0,0,13
no,2nd,male,16,0,0,26
no,2nd,male,26,0,0,10.5
no,2nd,male,47,0,0,10.5
no,2nd,male,21,1,0,11.5
no,2nd,male,21,1,0,11.5
no,2nd,male,24,0,0,13.5
no,2nd,male,24,0,0,13
no,2nd,male,34,0,0,13
no,2nd,male,30,0,0,13
no,2nd,male,52,0,0,13
no,2nd,male,30,0,0,13
yes,2nd,male,0.6667,1,1,14.5
yes,2nd,female,24,0,2,14.5
no,2nd,male,44,0,0,13
no,2nd,male,28,0,1,33
yes,2nd,male,62,0,0,10.5
no,2nd,male,30,0,0,10.5
no,2nd,male,43,1,1,26.25
yes,2nd,female,45,1,1,26.25
yes,2nd,female,24,1,2,65
yes,2nd,female,24,1,2,65
no,2nd,male,49,1,2,65
yes,2nd,female,48,1,2,65
yes,2nd,female,55,0,0,16
no,2nd,male,24,2,0,73.5
no,2nd,male,32,2,0,73.5
no,2nd,male,21,2,0,73.5
no,2nd,female,18,1,1,13
yes,2nd,female,20,2,1,23
no,2nd,male,23,2,1,11.5
no,2nd,male,36,0,0,13
yes,2nd,female,54,1,3,23
no,2nd,male,50,0,0,13
no,2nd,male,44,1,0,26
yes,2nd,female,29,1,0,26
no,2nd,male,21,0,0,73.5
yes,2nd,male,42,0,0,13
no,2nd,male,63,1,0,26
no,2nd,female,60,1,0,26
no,2nd,male,33,0,0,12.275
yes,2nd,female,17,0,0,10.5
no,2nd,male,42,1,0,27
yes,2nd,female,24,2,1,27
no,2nd,male,47,0,0,15
no,2nd,male,24,2,0,31.5
no,2nd,male,22,2,0,31.5
no,2nd,male,32,0,0,10.5
yes,2nd,female,23,0,0,13.7917
no,2nd,male,34,1,0,26
yes,2nd,female,24,1,0,26
no,2nd,female,22,0,0,21
no,2nd,male,35,0,0,12.35
yes,2nd,female,45,0,0,13.5
no,2nd,male,57,0,0,12.35
no,2nd,male,31,0,0,10.5
no,2nd,female,26,1,1,26
no,2nd,male,30,1,1,26
no,2nd,male,25,1,2,41.5792
yes,2nd,female,22,1,2,41.5792
yes,2nd,female,17,0,0,12
yes,2nd,female,34,0,0,10.5
no,2nd,male,36,0,0,12.875
no,2nd,male,24,0,0,10.5
no,2nd,male,61,0,0,12.35
no,2nd,male,50,1,0,26
yes,2nd,female,42,1,0,26
no,2nd,female,57,0,0,10.5
no,2nd,male,31,1,1,37.0042
yes,2nd,female,24,1,1,37.0042
no,2nd,male,30,0,0,13
no,2nd,male,40,0,0,16
no,2nd,male,32,0,0,13.5
no,2nd,male,30,0,0,13
no,2nd,male,46,0,0,26
yes,2nd,female,13,0,1,19.5
yes,2nd,female,41,0,1,19.5
yes,2nd,male,19,0,0,10.5
no,2nd,male,39,0,0,13
no,2nd,male,48,0,0,13
no,2nd,male,70,0,0,10.5
no,2nd,male,27,0,0,13
no,2nd,male,54,0,0,14
no,2nd,male,39,0,0,26
no,2nd,male,16,0,0,10.5
no,2nd,male,62,0,0,9.6875
no,2nd,male,32.5,1,0,30.0708
yes,2nd,female,14,1,0,30.0708
no,2nd,male,36.5,0,2,26
no,2nd,male,26,0,0,13
no,2nd,male,19,1,1,36.75
no,2nd,male,28,0,0,13.5
yes,2nd,male,20,0,0,13.8625
yes,2nd,female,29,0,0,10.5
no,2nd,male,39,0,0,13
yes,2nd,male,22,0,0,10.5
no,2nd,male,23,0,0,10.5
yes,2nd,male,29,0,0,13.8583
no,2nd,male,28,0,0,10.5
yes,2nd,female,50,0,1,26
no,2nd,male,19,0,0,10.5
no,2nd,male,41,0,0,13
yes,2nd,female,21,0,1,21
yes,2nd,female,19,0,0,26
no,2nd,male,43,0,1,21
yes,2nd,female,32,0,0,13
no,2nd,male,34,0,0,13
yes,2nd,male,30,0,0,12.7375
no,2nd,male,27,0,0,15.0333
yes,2nd,female,33,0,2,26
no,2nd,male,36,0,0,10.5
no,2nd,male,34,1,0,21
yes,2nd,female,30,3,0,21
yes,2nd,female,28,0,0,13
no,2nd,male,23,0,0,15.0458
yes,2nd,male,0.8333,1,1,18.75
yes,2nd,female,24,2,3,18.75
yes,2nd,female,50,0,0,10.5
no,2nd,male,19,0,0,10.5
yes,2nd,female,21,0,0,10.5
no,2nd,male,26,0,0,13
no,2nd,male,25,0,0,13
no,2nd,male,27,0,0,26
yes,2nd,female,25,0,1,26
yes,2nd,female,18,0,2,13
yes,2nd,female,20,0,0,36.75
yes,2nd,female,30,0,0,13
no,2nd,male,59,0,0,13.5
yes,2nd,female,30,0,0,12.35
no,2nd,male,35,0,0,10.5
yes,2nd,female,40,0,0,13
no,2nd,male,25,0,0,13
no,2nd,male,41,0,0,15.0458
no,2nd,male,25,0,0,10.5
no,2nd,male,18.5,0,0,13
no,2nd,male,14,0,0,65
yes,2nd,female,50,0,0,10.5
no,2nd,male,23,0,0,13
yes,2nd,female,28,0,0,12.65
yes,2nd,female,27,0,0,10.5
no,2nd,male,29,1,0,21
no,2nd,female,27,1,0,21
no,2nd,male,40,0,0,13
yes,2nd,female,31,0,0,21
no,2nd,male,30,1,0,21
no,2nd,male,23,1,0,10.5
yes,2nd,female,31,0,0,21
yes,2nd,female,12,0,0,15.75
yes,2nd,female,40,0,0,15.75
yes,2nd,female,32.5,0,0,13
no,2nd,male,27,1,0,26
yes,2nd,female,29,1,0,26
yes,2nd,female,29,0,2,23
yes,2nd,female,0.9167,1,2,27.75
no,2nd,male,36,1,2,27.75
yes,2nd,female,33,1,2,27.75
no,2nd,male,66,0,0,10.5
yes,2nd,male,31,0,0,13
yes,2nd,female,26,0,0,13.5
no,2nd,female,24,0,0,13
no,3rd,male,42,0,0,7.55
no,3rd,male,13,0,2,20.25
no,3rd,male,16,1,1,20.25
yes,3rd,female,35,1,1,20.25
yes,3rd,female,16,0,0,7.65
yes,3rd,male,25,0,0,7.65
yes,3rd,male,20,0,0,7.925
yes,3rd,female,18,0,0,7.2292
no,3rd,male,30,0,0,7.25
no,3rd,male,26,0,0,8.05
no,3rd,female,40,1,0,9.475
yes,3rd,male,0.8333,0,1,9.35
yes,3rd,female,18,0,1,9.35
yes,3rd,male,26,0,0,18.7875
no,3rd,male,26,0,0,7.8875
no,3rd,male,20,0,0,7.925
no,3rd,male,24,0,0,7.05
no,3rd,male,25,0,0,7.05
no,3rd,male,35,0,0,8.05
no,3rd,male,18,0,0,8.3
no,3rd,male,32,0,0,22.525
yes,3rd,female,19,1,0,7.8542
yes,3rd,female,17,4,2,7.925
no,3rd,female,38,4,2,7.775
no,3rd,female,11,4,2,31.275
no,3rd,male,39,1,5,31.275
yes,3rd,male,27,0,0,7.7958
no,3rd,male,26,0,0,7.775
no,3rd,female,39,1,5,31.275
no,3rd,male,20,0,0,7.8542
no,3rd,male,26,0,0,7.8958
no,3rd,male,25,1,0,17.8
no,3rd,female,18,1,0,17.8
no,3rd,male,24,0,0,7.775
no,3rd,male,35,0,0,7.05
no,3rd,male,13,4,2,31.3875
no,3rd,male,40,1,5,31.3875
yes,3rd,male,23,0,0,7.7958
yes,3rd,female,38,1,5,31.3875
yes,3rd,female,45,0,0,7.225
no,3rd,male,21,0,0,7.225
no,3rd,male,23,0,0,7.05
no,3rd,female,17,0,0,14.4583
no,3rd,male,30,0,0,7.225
no,3rd,male,23,0,0,7.8542
yes,3rd,female,13,0,0,7.2292
no,3rd,male,20,0,0,7.225
no,3rd,male,32,1,0,15.85
yes,3rd,female,33,3,0,15.85
yes,3rd,female,0.75,2,1,19.2583
yes,3rd,female,0.75,2,1,19.2583
yes,3rd,female,24,0,3,19.2583
yes,3rd,female,18,0,0,8.05
no,3rd,male,40,0,0,7.225
no,3rd,male,26,0,0,7.8958
yes,3rd,male,20,0,0,7.2292
no,3rd,female,18,0,1,14.4542
no,3rd,female,45,0,1,14.4542
no,3rd,female,27,0,0,7.8792
no,3rd,male,22,0,0,8.05
no,3rd,male,19,0,0,8.05
no,3rd,male,26,0,0,7.775
no,3rd,male,22,0,0,9.35
no,3rd,male,20,0,0,4.0125
yes,3rd,male,32,0,0,56.4958
no,3rd,male,21,0,0,7.775
no,3rd,male,18,0,0,7.75
no,3rd,male,26,0,0,7.8958
no,3rd,male,40,1,1,15.5
no,3rd,female,32,1,1,15.5
no,3rd,male,21,0,0,16.1
yes,3rd,female,22,0,0,7.725
no,3rd,female,20,0,0,7.8542
no,3rd,male,29,1,0,7.0458
no,3rd,male,22,1,0,7.25
no,3rd,male,22,0,0,7.7958
no,3rd,male,35,0,0,8.05
no,3rd,female,18.5,0,0,7.2833
yes,3rd,male,21,0,0,7.8208
no,3rd,male,19,0,0,6.75
no,3rd,female,18,0,0,7.8792
no,3rd,female,21,0,0,8.6625
no,3rd,female,30,0,0,8.6625
no,3rd,male,18,0,0,8.6625
no,3rd,male,38,0,0,8.6625
no,3rd,male,17,0,0,8.6625
no,3rd,male,17,0,0,8.6625
no,3rd,female,21,0,0,7.75
no,3rd,male,21,0,0,7.75
no,3rd,male,21,0,0,8.05
no,3rd,male,28,0,0,7.7958
no,3rd,male,24,0,0,7.8542
yes,3rd,female,16,0,0,7.75
no,3rd,female,37,0,0,7.75
no,3rd,male,28,0,0,7.25
no,3rd,male,24,0,0,8.05
no,3rd,male,21,0,0,7.7333
yes,3rd,male,32,0,0,56.4958
no,3rd,male,29,0,0,8.05
no,3rd,male,26,1,0,14.4542
no,3rd,male,18,1,0,14.4542
no,3rd,male,20,0,0,7.05
yes,3rd,male,18,0,0,8.05
no,3rd,male,24,0,0,7.25
no,3rd,male,36,0,0,7.4958
no,3rd,male,24,0,0,7.4958
no,3rd,male,31,0,0,7.7333
no,3rd,male,31,0,0,7.75
yes,3rd,female,22,0,0,7.75
no,3rd,female,30,0,0,7.6292
no,3rd,male,70.5,0,0,7.75
no,3rd,male,43,0,0,8.05
no,3rd,male,35,0,0,7.8958
no,3rd,male,27,0,0,7.8958
no,3rd,male,19,0,0,7.8958
no,3rd,male,30,0,0,8.05
yes,3rd,female,36,0,2,15.9
no,3rd,male,59,0,0,7.25
no,3rd,male,19,0,0,8.1583
yes,3rd,female,17,0,1,16.1
no,3rd,male,44,0,1,16.1
no,3rd,male,17,0,0,8.6625
no,3rd,male,22.5,0,0,7.225
yes,3rd,male,45,0,0,8.05
no,3rd,female,22,0,0,10.5167
no,3rd,male,19,0,0,10.1708
yes,3rd,female,30,0,0,6.95
yes,3rd,male,29,0,0,7.75
no,3rd,male,0.3333,0,2,14.4
no,3rd,male,34,1,1,14.4
no,3rd,female,28,1,1,14.4
no,3rd,male,27,0,0,7.8958
no,3rd,male,25,0,0,7.8958
no,3rd,male,24,2,0,24.15
no,3rd,male,22,0,0,8.05
no,3rd,male,21,2,0,24.15
no,3rd,male,17,2,0,8.05
yes,3rd,male,36.5,1,0,17.4
yes,3rd,female,36,1,0,17.4
yes,3rd,male,30,0,0,9.5
no,3rd,male,16,0,0,9.5
yes,3rd,female,0.1667,1,2,20.575
no,3rd,male,26,1,2,20.575
yes,3rd,female,33,1,2,20.575
no,3rd,male,25,0,0,7.8958
no,3rd,male,22,0,0,7.25
no,3rd,male,36,0,0,7.25
yes,3rd,female,19,0,0,7.8792
no,3rd,male,17,0,0,7.8958
no,3rd,male,42,0,0,8.6625
no,3rd,male,43,0,0,7.8958
no,3rd,male,32,0,0,7.75
yes,3rd,male,19,0,0,8.05
yes,3rd,female,30,0,0,12.475
no,3rd,female,24,0,0,7.75
yes,3rd,female,23,0,0,8.05
no,3rd,male,33,0,0,7.8958
no,3rd,male,65,0,0,7.75
yes,3rd,male,24,0,0,7.55
no,3rd,male,23,1,0,13.9
yes,3rd,female,22,1,0,13.9
no,3rd,male,18,0,0,7.775
no,3rd,male,16,0,0,7.775
no,3rd,male,45,0,0,6.975
no,3rd,male,39,0,2,7.2292
no,3rd,male,17,1,1,7.2292
no,3rd,male,15,1,1,7.2292
no,3rd,male,47,0,0,7.25
no,3rd,male,40.5,0,0,15.1
no,3rd,male,40.5,0,0,7.75
no,3rd,male,18,0,0,7.7958
no,3rd,male,26,0,0,7.8792
no,3rd,female,21,2,2,34.375
no,3rd,male,18,2,2,34.375
no,3rd,male,16,1,3,34.375
no,3rd,female,48,1,3,34.375
no,3rd,male,25,0,0,7.7417
no,3rd,male,22,0,0,8.05
yes,3rd,female,16,0,0,7.7333
no,3rd,male,33,1,1,20.525
no,3rd,male,41,0,0,7.85
yes,3rd,female,31,1,1,20.525
no,3rd,male,38,0,0,7.05
no,3rd,male,11,5,2,46.9
no,3rd,female,10,5,2,46.9
no,3rd,female,16,5,2,46.9
no,3rd,male,14,5,2,46.9
no,3rd,male,40,1,6,46.9
no,3rd,female,43,1,6,46.9
no,3rd,male,51,0,0,8.05
no,3rd,male,32,0,0,8.3625
no,3rd,male,20,0,0,9.8458
no,3rd,male,37,2,0,7.925
no,3rd,male,28,2,0,7.925
no,3rd,male,19,0,0,7.775
no,3rd,female,24,0,0,8.85
no,3rd,female,17,0,0,7.7333
no,3rd,male,28,1,0,15.85
yes,3rd,female,24,1,0,15.85
no,3rd,male,20,0,0,9.5
no,3rd,male,23.5,0,0,7.2292
no,3rd,male,41,2,0,14.1083
no,3rd,male,26,1,0,7.8542
no,3rd,male,21,0,0,7.8542
yes,3rd,female,45,1,0,14.1083
no,3rd,male,25,0,0,7.25
no,3rd,male,11,0,0,18.7875
yes,3rd,male,27,0,0,6.975
no,3rd,female,18,0,0,6.75
yes,3rd,female,26,0,0,7.925
no,3rd,female,23,0,0,7.925
yes,3rd,female,22,0,0,8.9625
no,3rd,male,28,0,0,7.8958
no,3rd,female,28,0,0,7.775
yes,3rd,female,22,1,1,12.2875
no,3rd,male,43,0,0,6.45
no,3rd,male,28,0,0,22.525
yes,3rd,female,27,0,0,7.925
no,3rd,male,42,0,0,7.65
no,3rd,male,30,0,0,7.2292
no,3rd,female,27,1,0,7.925
no,3rd,female,25,1,0,7.925
yes,3rd,male,29,0,0,7.8958
yes,3rd,male,21,0,0,7.7958
no,3rd,male,20,0,0,7.8542
no,3rd,male,48,0,0,7.8542
no,3rd,male,17,1,0,7.0542
no,3rd,male,34,0,0,6.4958
yes,3rd,male,26,0,0,7.775
no,3rd,male,22,0,0,7.7958
no,3rd,male,33,0,0,8.6542
no,3rd,male,31,0,0,7.775
no,3rd,male,29,0,0,7.8542
no,3rd,male,33,0,0,7.775
yes,3rd,female,27,0,2,11.1333
no,3rd,male,23,0,0,7.8958
yes,3rd,male,32,0,0,7.8542
no,3rd,male,27,0,0,7.8542
no,3rd,female,20,1,0,9.825
no,3rd,female,21,1,0,9.825
yes,3rd,male,32,0,0,7.925
no,3rd,male,17,0,0,7.125
no,3rd,male,21,0,0,8.4333
no,3rd,male,30,0,0,7.8958
yes,3rd,male,21,0,0,7.7958
no,3rd,male,33,0,0,7.8542
no,3rd,male,22,0,0,7.5208
yes,3rd,male,39,0,1,13.4167
no,3rd,male,18.5,0,0,7.2292
no,3rd,male,34.5,0,0,7.8292
no,3rd,male,44,0,0,8.05
no,3rd,female,22,2,0,8.6625
no,3rd,male,26,2,0,8.6625
yes,3rd,male,29,3,1,22.025
yes,3rd,female,26,1,1,22.025
no,3rd,male,18,1,1,7.8542
