"Film","ext","neur","imp","soc","posaff","negaff","BDI"
"Nature",6,3,2,2,10,2,0
"Nature",18,6,7,8,20,0,0.142857142857143
"Nature",12,16,2,9,9,18,1.28571428571429
"Comedy",17,7,6,10,8,1,0.380952380952381
"Nature",19,10,8,10,3,0,0.333333333333333
"Comedy",13,18,6,6,15,3,0.761904761904762
"Comedy",13,10,5,8,13,0,0
"Comedy",11,8,3,6,8,1,0.142857142857143
"Comedy",17,13,7,9,16,0,0.761904761904762
"Comedy",19,8,7,9,15,0,0.0952380952380952
"Documentary",15,12,6,8,6,10,0.619047619047619
"Nature",16,0,4,12,13,0,0
"Documentary",13,3,4,8,3,6,0.0476190476190476
"Documentary",16,4,6,9,11,7,0.333333333333333
"Horror",14,10,7,7,6,7,0.142857142857143
"Nature",13,14,3,8,6,15,1
"Nature",10,8,2,6,8,1,0.142857142857143
"Nature",6,5,2,1,5,0,0.523809523809524
"Nature",2,11,1,1,9,3,0.238095238095238
"Horror",6,18,1,4,14,14,1.04761904761905
"Horror",11,15,2,7,0,3,0.428571428571429
"Horror",19,11,6,11,17,7,0.2
"Horror",17,18,8,8,12,30,1.23809523809524
"Comedy",17,12,6,10,9,1,0.666666666666667
"Horror",10,21,2,8,4,13,0.476190476190476
"Documentary",13,12,4,8,11,19,0.476190476190476
"Documentary",12,7,5,6,10,9,0.142857142857143
"Comedy",14,7,3,9,16,2,0.380952380952381
"Comedy",13,13,5,6,4,5,0.142857142857143
"Documentary",22,10,9,11,1,7,0.0952380952380952
"Comedy",8,11,3,4,15,7,0.238095238095238
"Comedy",22,12,8,11,17,0,0.285714285714286
"Comedy",14,9,4,9,12,0,0.238095238095238
"Comedy",9,12,3,6,14,6,0.619047619047619
"Nature",12,11,5,5,7,0,0.142857142857143
"Nature",16,3,4,10,1,0,0
"Nature",13,6,5,7,0,1,0.05
"Nature",15,13,3,11,3,0,0.0952380952380952
"Nature",16,10,7,6,5,0,0.142857142857143
"Documentary",14,5,5,8,17,6,0.0952380952380952
"Documentary",9,13,2,5,3,15,0.142857142857143
"Horror",13,10,5,8,24,10,0
"Documentary",21,5,7,12,1,10,0.0952380952380952
"Horror",15,7,4,9,5,9,0.142857142857143
"Horror",12,2,2,8,8,0,0
"Documentary",17,8,4,11,21,19,0.142857142857143
"Documentary",13,10,5,8,12,10,0.333333333333333
"Documentary",9,5,1,7,3,3,0.153846153846154
"Documentary",19,6,7,9,2,5,0.619047619047619
"Documentary",12,10,3,7,11,10,0.142857142857143
"Documentary",16,7,4,11,15,4,0.333333333333333
"Documentary",10,2,7,2,23,16,0.142857142857143
"Documentary",13,19,5,7,5,9,0.0952380952380952
"Documentary",13,11,6,7,9,6,0.285714285714286
"Nature",13,17,5,8,12,4,0.19047619047619
"Nature",17,7,6,10,2,4,0.0952380952380952
"Comedy",11,20,3,8,10,1,0.19047619047619
"Comedy",14,10,5,8,3,10,1.46153846153846
"Comedy",14,12,5,9,24,5,0.19047619047619
"Nature",11,10,4,6,6,0,0.0476190476190476
"Nature",10,10,3,6,11,0,0.0952380952380952
"Nature",14,8,5,7,15,2,0.142857142857143
"Nature",13,11,4,8,12,5,0.142857142857143
"Nature",15,13,3,11,12,11,0.380952380952381
"Nature",13,22,5,7,3,5,1.04761904761905
"Documentary",13,2,4,8,9,4,0
"Documentary",20,9,7,11,8,2,0.19047619047619
"Documentary",15,12,5,7,6,10,0.666666666666667
"Documentary",10,18,4,5,4,10,0.380952380952381
"Documentary",22,3,8,12,17,14,0.142857142857143
"Horror",10,8,2,7,17,15,0.476190476190476
"Horror",16,13,5,9,6,11,0.333333333333333
"Comedy",16,12,6,7,3,0,0.285714285714286
"Comedy",16,14,5,9,12,8,0.333333333333333
"Comedy",18,12,5,10,16,3,0.380952380952381
"Comedy",18,10,7,10,18,0,0.666666666666667
"Horror",4,12,0,4,0,0,0.333333333333333
"Horror",12,2,4,7,0,0,0
"Horror",21,0,8,12,21,4,0
"Horror",12,15,4,6,11,2,0.19047619047619
"Horror",21,9,8,10,2,0,0.476190476190476
"Horror",11,16,2,8,6,3,0.523809523809524
"Nature",19,5,5,11,7,1,0.238095238095238
"Nature",15,13,7,8,20,1,0.476190476190476
"Nature",1,12,1,0,1,1,0.428571428571429
"Nature",14,9,6,5,20,11,0.333333333333333
"Nature",20,16,8,9,5,2,0.523809523809524
"Comedy",7,19,5,2,3,0,NA
"Documentary",10,16,3,4,0,2,NA
"Documentary",11,7,2,9,14.5,15,NA
"Documentary",10,22,4,4,12,20,NA
"Documentary",8,6,1,7,0,3,NA
"Comedy",17,14,6,10,0,0,NA
"Comedy",17,6,5,11,10,0,NA
"Comedy",18,5,5,11,15,0,NA
"Comedy",15.8,6.3,5,8.5,3,0,NA
"Comedy",7,12,2,4,7.5,0,NA
"Horror",7,7,2,5,7,1,NA
"Nature",10,11,2,8,16,0,NA
"Horror",12,3,3,7,6,1,NA
"Nature",19,11,7,11,12,2,NA
"Documentary",16,7,4,10,6,4,NA
"Horror",5,21,2,2,5,6,NA
"Horror",20,11,7,11,4,6,NA
"Horror",12,14,5,7,14,6,NA
"Documentary",7,3,2,3,5,7,NA
"Documentary",16,13,6,8,0,12,NA
"Documentary",12,12,4,7,11,13,NA
"Horror",12,8,3,8,5,6,NA
"Nature",19,5,7,10,6,0,NA
"Nature",18,7,7,9,6,5,NA
"Nature",17,15,7,8,5,1,NA
"Nature",15,12,4,10,5,4,NA
"Nature",14,12,2,11,10,5.5,NA
"Horror",14,9,5,8,8,4,NA
"Horror",15,15,6,7,3,3,NA
"Horror",13,18,3,8,2,4,NA
"Horror",14,14,5,8,1,6,NA
"Documentary",18,17,8,8,3,8,NA
"Comedy",12,10,4,7,11,1,NA
"Comedy",21,13,8,12,9,5,NA
"Comedy",10,4,4,5,16,2,NA
"Comedy",13,2,3,8,14,2,NA
"Documentary",19,16,5,13,4,7,NA
"Documentary",12,10,4,7,10,7,NA
"Documentary",18.1,9.1,7.1,10,3,8,NA
"Documentary",7,13,2,3,2,7,NA
"Documentary",11,13,3,5,1,19,NA
"Nature",7,20,3,3,7,1.9,NA
"Nature",9,5,0,9,1,0,NA
"Nature",4,17,1,1,23,7,NA
"Nature",11,4,2,9,10,5,NA
"Nature",11,10,5,6,8,2,NA
"Comedy",11,10,2,8,1,0,NA
"Comedy",20,1,6,11,16,0,NA
"Comedy",12,5,3,9,11,1,NA
"Comedy",19,0,7,11,9,0,NA
"Documentary",15,4,4,10,2,3,NA
"Documentary",19,5,7,10,0,3,NA
"Documentary",14,7,5,9,6,12,NA
"Documentary",9,11,3,6,2,2,NA
"Documentary",19,10,5,12,16,13,NA
"Nature",9,16,3,5,19,12,NA
"Horror",1,15,0,1,5,6,NA
"Horror",10,12,4,5,2,10,NA
"Horror",16,16,6,9,6,9,NA
"Comedy",15,17,5,9,5,0,NA
"Horror",19,5,6,11,10,3,NA
"Horror",5,9,0,3,0,0,NA
"Comedy",16,12,5,9,20,11,NA
"Nature",4,16,3,1,1,0,NA
"Nature",14,11,5,8,12,1,NA
"Nature",11,6,2,8,4,5,NA
"Comedy",13,13,6,6,6,0,NA
"Nature",12,9,3,9,3,0,NA
"Nature",17,12,5,9,2,0,NA
"Horror",13,8,3,8,12,2,NA
"Horror",17,4,7,8,2,0,NA
"Horror",13,11,3,9,7,8,NA
"Comedy",21,6,8,11,8,0,NA
"Documentary",6,8,2,4,7,12,NA
"Documentary",10,18,4,5,0,2,NA
"Documentary",19,11,6,10,8,3,NA
"Documentary",7,18,3,3,2,15,NA
"Documentary",8,9,3,3,1,4,NA
"Horror",9,6,1,6,26,0,NA
"Horror",10,6,2,6,10,18,NA
"Horror",14,14,5,8,0,1,NA
"Horror",11,4,3,6,10,7,NA
"Horror",6,3,1,4,6,4,NA
"Horror",10,11,3,5,2,4,NA
"Nature",6,10,2,2,4,8,NA
"Nature",10,11,2,7,11,3,NA
"Horror",13,10,4,8,9,5,NA
"Horror",13,9,3,10,15,9,NA
"Nature",2,20,1,0,3,0,NA
"Nature",11.7,3,4,6.7,11,0,NA
"Horror",11,5,3,8,9,4,NA
"Horror",11,12,4,6,0,2,NA
"Horror",21,5,7,11,12,15,NA
"Nature",2,22,2,0,0,0,NA
"Nature",18,8,5,11,0,0,NA
"Nature",18,17,7,8,14,1,NA
"Nature",20,11,6,12,26,0,NA
"Comedy",19,5,6,11,10,0,NA
"Comedy",16,17,6,10,18,4,NA
"Comedy",14,13,5,7,10,4,NA
"Comedy",16,16,4,9,17,6,NA
"Comedy",9,6,1,7,8,0,NA
"Comedy",18,9,5,13,22,0,NA
"Nature",10,10,3,5,3,0,NA
"Comedy",17,6,6,11,14,5,NA
"Comedy",15,16,7,7,22,12,NA
"Nature",15,12,6,7,15,1,NA
"Nature",7.7,13,3,3.7,14,0,NA
"Nature",16,23,4,10,14,13,NA
"Documentary",10,4,2,7,10,7,NA
"Documentary",2,5,0,0,6,4,NA
"Documentary",13,1,2,11,20,1,NA
"Comedy",9,16,5,2,15,1,NA
"Comedy",16,11,5,9,10,1,NA
"Comedy",17,4,8,7,14,0,NA
"Comedy",15,16,5,8,12.8,3,NA
"Nature",13,20,2,9,1,0.5,NA
"Comedy",17,23,6,10,12,6,NA
"Comedy",0,17,0,0,5,0,NA
"Comedy",10,21,5,5,7,1,NA
"Comedy",13,1,4,9,8,0,NA
"Nature",16,8,3,12,8,8,NA
"Nature",19,12,7,9,8,1,NA
"Nature",16,14,5,11,10,0,NA
"Documentary",8,13,2,4,3,9,NA
"Documentary",10,11,2,6,1,8,NA
"Documentary",21,12,7,11,2,2,NA
"Documentary",12,12,2,9,7,11,NA
"Documentary",16,13,5,11,1.6,10.3,NA
"Horror",14,10,4,9,9,5,NA
"Horror",4,12,3,2,10,12,NA
"Documentary",18,12,7,9,12,14,NA
"Documentary",13,8,3,7,1,6,NA
"Documentary",5,4,0,3,11,20,NA
"Horror",10,7,4,6,0,2,NA
"Horror",17,11,7,8,24,7,NA
"Comedy",21,12,7,12,7,0,NA
"Horror",3,7,1,1,3,9,NA
"Horror",15,7,3,10,0,0,NA
"Horror",19,9,7,11,0,5,NA
"Horror",16,4,5,9,9,6,NA
"Comedy",19,5,6,11,17.7,0,NA
"Comedy",15,15,7,7,0,7,NA
"Comedy",4,1,2,1,9,0,NA
"Horror",6,8,2,2,7,8,NA
"Horror",17,6,5,11,2,15,NA
"Horror",12,11,4,6,11,3,NA
"Nature",5,21,3,2,0,2,NA
"Nature",15,3,4,11,15,0,NA
"Nature",11,4,2,7,14,14.1,NA
"Nature",17,7,5,10,7,4,NA
"Documentary",14,7,3,10,4,6,NA
"Documentary",20,14,8,9,5,2,NA
"Documentary",18,17,6,9,11,22,NA
"Documentary",10,5,4,5,4,10,NA
"Horror",13,11,5,5,7,0,NA
"Comedy",17,0,6,10,9,0,NA
"Comedy",11,8,1,10,6,0,NA
"Comedy",15,16,5,9,0,1,NA
"Comedy",14,8,6,7,1,0,NA
"Comedy",16,5,5,9,9.3,0,NA
"Comedy",11,9,3,7,17,0,NA
"Comedy",16,6,5,8,3,1,NA
"Comedy",11,5,4,5,1,0,NA
"Documentary",14,1,3,9,17,2,NA
"Documentary",17,16,5,10,1,9,NA
"Nature",18,6,8,9,14,1,NA
"Nature",16,22,8,6,0,0,NA
"Nature",8,10,1,6,1,2,NA
"Nature",14,7,2,10,3,0,NA
